iata_to,state_id,state_name,latitude,longitude
12576,PA,Pennsylvania,42.1184,-79.9818
12577,IA,Iowa,42.1721,-92.3091
12578,IA,Iowa,42.7126,-92.5816
12579,IL,Illinois,38.2554,-87.9970
12580,KS,Kansas,37.0038,-101.8944
12581,IN,Indiana,40.4797,-85.6304
12582,IL,Illinois,39.6298,-90.4560
12583,MS,Mississippi,32.1047,-90.2980
12584,WA,Washington,47.3755,-119.5044
12585,PA,Pennsylvania,40.4100,-78.8450
12586,OR,Oregon,44.1394,-123.0588
12587,KS,Kansas,39.7740,-98.7831
12588,WI,Wisconsin,44.4907,-89.5600
12589,WI,Wisconsin,43.1776,-90.0688
12590,NM,New Mexico,35.0653,-106.2569
12591,IL,Illinois,40.3509,-91.4277
12592,VA,Virginia,38.0535,-77.3473
12593,PA,Pennsylvania,40.0869,-79.7526
12594,WI,Wisconsin,44.9483,-92.2851
12595,NC,North Carolina,35.5081,-82.6176
12596,KS,Kansas,38.4834,-101.3579
12597,IA,Iowa,43.1814,-95.6554
12598,CT,Connecticut,41.2794,-72.6003
12599,TX,Texas,31.4541,-93.7979
12600,TX,Texas,31.8643,-97.3861
12601,NC,North Carolina,36.4239,-77.6130
12602,IA,Iowa,43.1791,-95.4768
12603,CA,California,39.1507,-120.1596
12604,TX,Texas,29.7089,-95.4366
12605,NJ,New Jersey,39.5402,-75.1727
12606,PR,Puerto Rico,18.3823,-67.1201
12607,IL,Illinois,41.9291,-88.8669
12608,MD,Maryland,39.3889,-77.2789
12609,TX,Texas,30.9376,-95.3254
12610,SC,South Carolina,33.8923,-80.4396
12611,TX,Texas,30.1692,-94.3207
12612,NM,New Mexico,36.7204,-108.3236
12613,VA,Virginia,36.9444,-82.4698
12614,VA,Virginia,36.6404,-80.2687
12615,NC,North Carolina,34.0698,-77.8965
12616,MS,Mississippi,33.5003,-90.3256
12617,PA,Pennsylvania,40.4922,-79.8600
12618,IL,Illinois,39.0930,-89.8023
12619,WV,West Virginia,37.8385,-81.1986
12620,NY,New York,43.9418,-76.1182
12621,VA,Virginia,36.9010,-81.2765
12622,LA,Louisiana,32.8619,-91.3911
12623,IL,Illinois,39.6982,-91.0399
12624,WI,Wisconsin,43.1716,-87.9353
12625,TX,Texas,34.3855,-103.0373
12626,IL,Illinois,40.7626,-87.9975
12627,PA,Pennsylvania,40.4810,-78.5547
12628,WI,Wisconsin,44.8909,-88.5440
12629,IL,Illinois,40.3988,-88.8894
12630,PA,Pennsylvania,40.4626,-78.5866
12631,KS,Kansas,39.1128,-96.7028
12632,VA,Virginia,37.1707,-80.2527
12633,IN,Indiana,39.2080,-86.2385
12634,OH,Ohio,40.9696,-82.1082
12635,OH,Ohio,40.1996,-84.7943
12636,AL,Alabama,31.3423,-85.5893
12637,GA,Georgia,32.3897,-81.6668
12638,HI,Hawaii,19.7216,-155.9505
12639,DE,Delaware,39.7668,-75.4982
12640,AZ,Arizona,34.3788,-111.4574
12641,NY,New York,42.8987,-75.6448
12642,IN,Indiana,38.3513,-85.9372
12643,VA,Virginia,38.9106,-77.6638
12644,ND,North Dakota,47.6532,-101.4219
12645,OK,Oklahoma,36.8150,-100.5236
12646,WV,West Virginia,39.0942,-79.6785
12647,NY,New York,40.9023,-73.1923
12648,WI,Wisconsin,42.6294,-89.2572
12649,MS,Mississippi,33.9909,-89.3454
12650,MD,Maryland,38.7883,-76.2244
12651,TX,Texas,29.5982,-95.5520
12652,OR,Oregon,43.3029,-123.0666
12653,TX,Texas,26.0703,-97.6342
12654,TX,Texas,33.0843,-97.5632
12655,LA,Louisiana,30.4023,-91.9320
12656,GA,Georgia,32.9359,-82.8134
12657,AL,Alabama,33.5302,-87.0312
12658,PA,Pennsylvania,41.8525,-79.3167
12659,TX,Texas,30.3817,-98.0010
12660,NJ,New Jersey,39.9424,-74.1454
12661,PA,Pennsylvania,40.1500,-79.9084
12662,NM,New Mexico,35.7159,-106.0582
12663,MA,Massachusetts,41.4551,-70.5657
12664,PA,Pennsylvania,40.5546,-80.1923
12665,AK,Alaska,60.2681,-151.2843
12666,CA,California,37.8097,-120.7115
12667,NE,Nebraska,41.4548,-96.3565
12668,WI,Wisconsin,45.5686,-88.8973
12669,UT,Utah,37.5717,-113.7431
12670,SC,South Carolina,34.3390,-79.4337
12671,KY,Kentucky,37.5372,-82.5577
12672,OH,Ohio,40.3127,-83.9167
12673,TX,Texas,33.8141,-98.6899
12674,IN,Indiana,39.4787,-86.3917
12675,LA,Louisiana,30.3260,-92.4956
12676,IN,Indiana,40.1742,-86.0211
12677,NC,North Carolina,35.2086,-82.2379
12678,MD,Maryland,38.9301,-76.9437
12679,PA,Pennsylvania,40.0702,-75.3188
12680,MD,Maryland,38.9021,-76.6973
12681,OR,Oregon,43.8815,-121.4368
12682,RI,Rhode Island,41.9687,-71.6768
12683,MO,Missouri,37.9696,-91.3545
12684,OH,Ohio,39.8536,-83.9620
12685,CT,Connecticut,41.1350,-73.2873
12686,AL,Alabama,33.9370,-86.2004
12687,NC,North Carolina,35.4480,-82.4294
12688,KY,Kentucky,38.3105,-85.4896
12689,AZ,Arizona,34.3452,-112.1592
12690,MS,Mississippi,31.3680,-89.3086
12691,TX,Texas,30.2736,-97.7867
12692,TX,Texas,32.8257,-96.2458
12693,KS,Kansas,37.7818,-97.5363
12694,NM,New Mexico,35.8928,-106.0856
12695,AR,Arkansas,36.1900,-90.3850
12696,AL,Alabama,31.1124,-86.0462
12697,AZ,Arizona,34.1526,-112.8642
12698,FL,Florida,27.9242,-82.8359
12699,KS,Kansas,39.4404,-98.6994
12700,MI,Michigan,43.9511,-86.2798
12701,OH,Ohio,41.1160,-80.9827
12702,MS,Mississippi,33.4494,-90.5063
12703,NC,North Carolina,35.4279,-79.5828
12704,PA,Pennsylvania,40.4642,-78.3922
12705,KS,Kansas,37.9620,-101.7782
12706,CA,California,36.3028,-119.6370
12707,IL,Illinois,37.0062,-89.1819
12708,FL,Florida,28.1946,-82.7703
12709,IL,Illinois,41.7683,-88.7659
12710,CA,California,34.5232,-117.9808
12711,WI,Wisconsin,43.5397,-89.0029
12712,WY,Wyoming,43.7492,-105.4948
12713,OK,Oklahoma,36.5738,-94.9480
12714,NC,North Carolina,36.3938,-81.4898
12715,PA,Pennsylvania,40.7315,-77.8884
12716,NJ,New Jersey,39.4787,-75.1380
12717,UT,Utah,39.5358,-110.7344
12718,GA,Georgia,30.9714,-83.1954
12719,NM,New Mexico,35.7374,-105.9819
12720,VA,Virginia,38.5198,-77.4441
12721,WY,Wyoming,42.7613,-104.4584
12722,FL,Florida,28.4267,-82.6254
12723,SD,South Dakota,43.4245,-102.1801
12724,NM,New Mexico,36.1001,-106.0515
12725,AL,Alabama,33.8789,-86.8240
12726,NC,North Carolina,35.8663,-77.8306
12727,UT,Utah,40.7886,-111.7414
12728,IL,Illinois,37.9066,-89.0521
12729,OH,Ohio,39.0479,-84.3475
12730,OK,Oklahoma,35.3175,-97.9517
12731,NY,New York,40.8981,-73.1624
12732,MI,Michigan,41.8817,-86.6142
12733,OH,Ohio,41.6160,-83.3743
12734,CA,California,38.8677,-121.1318
12735,MT,Montana,46.3640,-104.2741
12736,SC,South Carolina,33.3229,-79.9900
12737,AZ,Arizona,35.3579,-112.1705
12738,OH,Ohio,41.4180,-81.6681
12739,PA,Pennsylvania,41.2513,-74.9103
12740,KS,Kansas,39.7602,-94.9396
12741,NE,Nebraska,40.9964,-96.1612
12742,PA,Pennsylvania,41.1045,-77.4888
12743,NY,New York,43.1451,-78.8777
12744,OK,Oklahoma,35.2412,-96.2385
12745,HI,Hawaii,21.9187,-159.6240
12746,AL,Alabama,30.4783,-87.6904
12747,IL,Illinois,39.5925,-89.9526
12748,TX,Texas,29.5836,-95.7966
12749,TX,Texas,30.7952,-97.4324
12750,IL,Illinois,39.8429,-89.0608
12751,IN,Indiana,38.8935,-86.5254
12752,NC,North Carolina,35.8669,-81.0470
12753,NC,North Carolina,35.2457,-78.5634
12754,OH,Ohio,40.3442,-84.3694
12755,MO,Missouri,38.3940,-93.3313
12756,NJ,New Jersey,41.1874,-74.5015
12757,OH,Ohio,39.8625,-80.8098
12758,WV,West Virginia,38.5371,-81.9254
12759,NY,New York,41.6924,-74.0429
12760,PR,Puerto Rico,18.0404,-65.9071
12761,IL,Illinois,42.0905,-88.8490
12762,IL,Illinois,39.4466,-89.7821
12763,OH,Ohio,40.4098,-82.9516
12764,PR,Puerto Rico,18.0760,-66.5016
12765,GA,Georgia,32.2380,-84.3089
12766,PA,Pennsylvania,40.5472,-76.8160
12767,OR,Oregon,45.0187,-123.8882
12768,AR,Arkansas,36.3402,-94.4578
12769,TX,Texas,33.4576,-102.4908
12770,CA,California,36.6565,-119.5981
12771,MD,Maryland,38.9016,-76.9153
12772,TX,Texas,33.6231,-96.7287
12773,IA,Iowa,41.6911,-94.3639
12774,IL,Illinois,39.9524,-90.2108
12775,TX,Texas,32.2984,-95.6131
12776,AZ,Arizona,36.9538,-112.9813
12777,IA,Iowa,42.6401,-92.0477
12778,NM,New Mexico,35.5699,-108.7641
12779,WA,Washington,47.6480,-120.0707
12780,IA,Iowa,40.8835,-94.5583
12781,KS,Kansas,37.8668,-95.7539
12782,PR,Puerto Rico,18.3389,-67.2515
12783,MT,Montana,48.5902,-109.2319
12784,TX,Texas,29.9537,-97.3065
12785,IN,Indiana,40.7667,-87.1391
12786,PR,Puerto Rico,18.3240,-65.8715
12787,NY,New York,42.5410,-76.6618
12788,LA,Louisiana,30.0303,-90.6569
12789,LA,Louisiana,32.0764,-92.0850
12790,CA,California,38.1717,-120.3990
12791,IN,Indiana,38.3716,-85.9826
12792,TX,Texas,29.6683,-98.0773
12793,CA,California,41.7275,-122.5302
12794,MO,Missouri,38.4788,-91.8450
12795,CT,Connecticut,41.8316,-72.8977
12796,AZ,Arizona,31.3614,-109.5662
12797,KY,Kentucky,36.6648,-84.4395
12798,TX,Texas,31.8470,-96.8003
12799,PA,Pennsylvania,40.7844,-79.9341
12800,TX,Texas,26.0810,-97.2592
12801,AZ,Arizona,36.3033,-109.2157
12802,TX,Texas,30.2339,-93.7610
12803,AZ,Arizona,35.5315,-113.4319
12804,WY,Wyoming,43.0069,-108.9205
12805,TX,Texas,30.5550,-98.3276
12806,PA,Pennsylvania,40.3289,-75.9938
12807,AR,Arkansas,33.3568,-93.4955
12808,IN,Indiana,37.9106,-86.7377
12809,OH,Ohio,41.2072,-82.1481
12810,CO,Colorado,39.2075,-108.8050
12811,NC,North Carolina,35.0347,-78.7887
12812,SC,South Carolina,34.6433,-82.4588
12813,OK,Oklahoma,34.6170,-98.0892
12814,VA,Virginia,37.9301,-75.4943
12815,NY,New York,43.0671,-76.4730
12816,NY,New York,42.5332,-73.7491
12817,LA,Louisiana,29.8081,-90.4210
12818,PA,Pennsylvania,40.3331,-78.9537
12819,NC,North Carolina,35.0114,-78.6996
12820,IL,Illinois,41.1337,-87.9599
12821,OK,Oklahoma,34.8546,-97.3876
12822,MN,Minnesota,44.7158,-96.2690
12823,CO,Colorado,39.2653,-103.6857
12824,OH,Ohio,40.9474,-83.9567
12825,IL,Illinois,39.7787,-89.6838
12826,AZ,Arizona,35.2335,-111.4728
12827,TN,Tennessee,36.1536,-85.6348
12828,IL,Illinois,41.1931,-88.3146
12829,NC,North Carolina,35.2511,-75.5475
12830,SC,South Carolina,33.6003,-81.9439
12831,WI,Wisconsin,44.9502,-91.1532
12832,PA,Pennsylvania,41.3139,-75.7826
12833,CA,California,36.9707,-120.6467
12834,IN,Indiana,39.8125,-85.1703
12835,UT,Utah,41.7102,-111.9776
12836,PR,Puerto Rico,18.3704,-65.7733
12837,IN,Indiana,39.7832,-86.0516
12838,MO,Missouri,37.8618,-90.5892
