date,origin,destination,count
2006-09-26,7,20940,11
2006-09-26,7,21844,319
2006-09-26,7,22747,4
2006-09-26,7,24400,2
2006-09-26,7,25973,49
2006-09-26,7,26101,3
2006-09-26,7,26496,2
2006-09-26,7,29668,1
2006-09-26,7,29863,5
2006-09-26,7,30315,1
2006-09-26,7,33419,14
2006-09-26,7,36839,2
2006-09-26,7,36856,19
2006-09-26,8,3,4
2006-09-26,8,9,1
2006-09-26,8,109,4
2006-09-26,8,1668,6
2006-09-26,8,2152,7
2006-09-26,8,2846,3
2006-09-26,8,2914,13
2006-09-26,8,3356,1
2006-09-26,8,3701,1
2006-09-26,8,5662,21
2006-09-26,8,8075,2
2006-09-26,8,10316,4
2006-09-26,8,11078,4
2006-09-26,8,11486,14
2006-09-26,8,13749,3
2006-09-26,8,13768,3
2006-09-26,8,15169,424
2006-09-26,8,16852,5
2006-09-26,8,20569,3
2006-09-26,8,24400,1
2006-09-26,8,27357,2
2006-09-26,8,30060,1
2006-09-26,8,36856,4
2006-09-26,9,174,1
2006-09-26,9,209,8
2006-09-26,9,226,5
2006-09-26,9,2152,10
2006-09-26,9,2828,1
2006-09-26,9,3561,16
2006-09-26,9,4265,2
2006-09-26,9,4323,4
2006-09-26,9,6318,36
2006-09-26,9,6334,30
2006-09-26,9,6432,14
2006-09-26,9,6453,6
2006-09-26,9,6939,17
2006-09-26,9,7342,1
2006-09-26,9,7743,14
2006-09-26,9,8070,1
2006-09-26,9,8075,3
2006-09-26,9,10794,78
2006-09-26,9,11944,12
2006-09-26,9,12147,7
2006-09-26,9,12182,10
2006-09-26,9,13756,18
2006-09-26,9,14780,10
2006-09-26,9,14904,1
2006-09-26,9,15169,879
2006-09-26,9,15270,2
2006-09-26,9,19296,4
2006-09-26,9,20461,88
2006-09-26,9,22373,5
2006-09-26,9,23342,2
2006-09-26,9,25751,2
2006-09-26,9,26101,5
2006-09-26,9,27474,2
2006-09-26,9,30282,5
2006-09-26,9,33070,1
2006-09-26,9,33694,27
2006-09-26,9,36856,3
