origin,destination,count
2,6106,1
2,7018,933
2,7065,1
2,7132,5
2,7377,94
2,9316,1
2,9394,1
2,12260,4
2,16572,8
2,18229,1
2,19306,3
2,29863,8
2,30099,4
3,680,2
3,3269,6
3,4134,6
3,4230,1
3,4513,1
3,4766,2
3,4808,1
3,7132,1
3,9271,1
3,9394,1
3,17429,1
3,18229,1
3,19318,1
4,3269,6
4,4513,101
4,4766,1
4,7132,15
4,9394,1
4,9803,2
4,14777,2
4,18229,1
4,22855,34
4,31976,82
5,680,2
5,2152,2
5,3269,6
5,3561,4
5,4134,3
5,4230,2
5,4513,2
5,4766,1
5,4808,3
5,6432,4
5,7132,2
5,8070,6
5,8075,6
5,9156,1
5,9271,2
5,9316,1
5,9394,1
5,12222,3
5,13867,2
5,14779,1
5,15169,3
5,18229,2
5,19318,6
5,21844,1
5,22781,1
5,26085,1
5,26101,2
5,26201,1
6,680,2
6,3269,6
6,4134,9
6,4230,1
6,4513,2
6,4766,1
6,4808,1
6,4837,1
6,7132,2
6,9271,2
6,9394,1
6,9808,1
6,18229,2
6,19318,2
6,23844,1
6,33314,1
7,3,2
7,109,7
7,1103,3
7,1239,7
7,1784,2
7,2152,33
7,2637,1
7,2914,36
7,3320,2
7,3356,1
7,3561,5
7,3701,3
7,4264,2
7,6102,2
7,6432,8
7,6461,1
7,7018,1
7,7132,2
7,8070,1
7,8075,2
7,8121,3
7,8560,1
7,9156,11
7,10565,11
7,10910,9
7,12182,3
7,12222,4
7,13649,1
7,13749,1
7,14745,1
7,14992,4
7,15169,130
7,16966,16
7,18924,56
7,19024,2
7,19355,2
7,21844,46
7,23352,4
7,25751,7
7,30081,29
7,30380,10
7,33694,2
8,25,3
8,109,7
8,786,1
8,2386,36
8,2553,41
8,2843,4
8,3561,10
8,3701,4
8,3999,1
8,4267,2
8,4323,17
8,6307,10
8,6334,20
8,7132,22
8,7258,3
8,8070,2
8,10763,2
8,11734,1
8,11771,10
8,12222,4
8,13749,279
8,15169,253
8,17820,2
8,18229,169
8,22822,14
8,23123,3
8,30217,26
8,30315,2
8,30387,3
9,102,8
9,209,7
9,797,143
9,1239,3
9,2013,19
9,2152,14
9,3356,2
9,3561,7
9,3707,81
9,4355,4
9,6307,11
9,6334,3
9,6432,3
9,6453,10
9,6939,3
9,7018,6
9,7224,4
9,7743,23
9,7912,3
9,8002,1
9,8070,3
9,10565,1
9,10763,6
9,10794,8
9,11266,44
9,12168,4
9,12179,6
9,12182,9
9,12217,12
9,14297,10
9,14443,12
9,14744,2
9,15104,60
9,15169,255
9,17392,5
9,19296,5
9,19355,3
9,19536,26
9,20461,6
9,30678,7
0,701,4
0,2152,1
0,3064,1
0,3269,7
0,3462,1
0,3561,34
0,4538,1
0,4766,2714
0,4808,1
0,4812,1
0,4837,1
0,5760,1
0,6724,1
0,7018,1
0,7029,2
0,7132,1
0,8167,1
0,9121,1
0,9800,65
0,10796,1
0,11172,1
0,11398,1
0,13462,32
0,13609,1
0,14780,1
0,18229,79
0,19191,1
0,19262,2
0,20172,1
0,22291,2
0,22773,1
0,22909,1
0,23520,1
0,26085,3
0,27262,1
0,31976,1
0,33774,1
0,35908,1
1,852,2
1,1103,2
1,2418,2
1,2516,3
1,2828,2
1,3242,1
1,3265,1493
1,3269,20
1,3354,2
1,3356,1
1,3462,1
1,3561,6
1,3741,2
1,4134,8
1,4266,2
1,4323,1
1,4589,2
1,4766,15
1,4812,4
1,4837,3
1,5379,3
1,6713,5
1,8075,2
1,8708,1
1,9269,1
1,9271,2
1,9800,1
1,9808,1
1,9812,1
1,9929,1
1,11232,1
1,11351,3
1,12302,201
1,14777,12
1,14778,6
1,15169,12
1,17429,1
1,18229,66
1,19191,18
1,20115,2
1,22773,1
1,31094,1
1,33651,2
2,81,29
2,1312,85
2,2914,1
2,3269,4
2,3462,1
2,3561,11
2,4812,1
2,5617,411
2,7018,935
2,7065,1
2,7132,3
2,7377,73
2,9800,1
2,18229,11
2,19181,1
2,29863,8
2,30099,4
2,33260,4
3,852,1
3,2418,1
3,3269,26
3,3354,2
3,4134,1
3,4589,2
3,4812,4
3,9271,1
3,9800,2
3,9812,1
3,18229,4
3,27699,2
4,3269,4
4,4323,1
4,4812,1
4,7132,15
4,9800,1
4,14778,7
4,18229,14
4,20001,14
4,29895,28
4,31976,83
4,33651,19
5,852,2
5,2152,2
5,2418,2
5,3269,22
5,3354,2
5,3356,1
5,3561,2
5,4134,4
5,4589,4
5,4812,1
5,8070,4
5,8075,5
5,9271,2
5,9800,2
5,9812,1
5,13867,2
5,18229,2
5,19191,2
5,27699,2
6,4,1
6,852,2
6,2418,1
6,3269,38
6,3354,2
6,4134,2
6,4589,2
6,4812,1
6,9271,4
6,9800,2
6,9808,1
6,9812,1
6,9929,1
6,17429,1
6,18229,2
6,19191,4
6,27699,4
7,109,8
7,209,3
7,852,2
7,2152,34
7,3356,1
7,3561,2
7,4264,1
7,6432,9
7,7018,3
7,8070,3
7,9156,1
7,9271,4
7,10565,1
7,12168,2
7,15169,52
7,17225,4
7,18924,48
7,19306,7
7,21568,7
7,21844,3
7,22758,2
7,25751,1
7,27699,1
7,29668,1
8,3,4
8,38,8
8,109,8
8,209,1
8,271,8
8,559,11
8,701,3
8,786,3
8,852,1
8,1668,11
8,2152,10
8,3268,12
8,3462,5
8,3561,2
8,3701,4
8,4265,3
8,4266,1
8,4378,38
8,5662,41
8,5719,9
8,6140,1
8,6453,1
8,7377,7
8,8001,1
8,8070,4
8,8075,3
8,9271,1
8,10913,1
8,11078,2
8,11486,10
8,12552,1
8,13890,1
8,14492,8
8,15169,296
8,17374,2
8,18229,684
8,22205,1
8,22822,2
8,22982,1
8,27357,2
8,30315,10
8,33070,6
8,33554,1
8,36017,7
9,7132,2
9,8070,3
9,11922,1
0,553,4
0,701,12
0,1967,1
0,2514,1
0,3269,2
0,3320,1
0,3356,1
0,3561,68
0,3786,1
0,4134,1
0,4230,2
0,4323,2
0,4538,4
0,4544,1
0,4788,1
0,4837,4
0,5617,1
0,5778,1
0,6432,2
0,6461,1
0,6471,1
0,6478,2
0,6724,1
0,6939,2
0,8708,1
0,9121,1
0,11305,1
0,11351,1
0,11427,1
0,13462,18
0,13749,2
0,13867,2
0,14492,1
0,15802,1
0,16814,1
0,19296,1
0,20401,1
0,21864,1
0,26085,1
0,27715,1
0,29571,4
0,33287,2
1,55,2
1,286,3
1,553,1
1,680,1
1,2852,2
1,3265,1469
1,3561,13
1,4134,2
1,4266,4
1,4323,1
1,4538,1
1,4766,4405
1,4808,2
1,4837,13
1,6327,1
1,6478,1
1,7543,4
1,8342,5
1,9304,1
1,9768,1
1,9800,570
1,9808,1
1,10197,2
1,10292,2
1,12302,196
1,12742,2
1,13749,12
1,13767,9
1,13768,3
1,14778,6
1,14780,1
1,15169,7
1,17897,1
1,24086,2
1,27645,1
1,27715,10
1,32795,1
1,33287,1
1,39386,1
2,16,1
2,47,1
2,81,1
2,209,38
2,1312,84
2,3561,6
2,4323,4
2,4766,2725
2,4837,1
2,5617,12
2,7018,921
2,7065,2
2,7132,3
2,7377,78
2,9506,18
2,9800,734
2,12513,2
2,13749,29
2,19918,48
2,21840,1
2,29863,12
2,30099,4
3,286,1
3,553,2
3,4134,1
3,4538,60
3,4766,2
3,4837,16
3,9812,1
3,10292,1
3,13749,1
3,27715,2
4,553,1
4,4323,1
4,4760,73
4,4766,4408
4,4837,3
4,7132,2
4,9800,747
4,13749,2
4,14778,2
4,22855,28
4,27715,10
4,31976,83
4,33651,283
5,4,1
5,286,6
5,553,6
5,2152,2
5,3356,1
5,3561,1
5,4538,77
5,4766,2
5,4837,15
5,8070,3
5,8075,6
5,10292,4
5,13749,2
5,13867,2
5,27715,1
6,286,2
6,553,2
6,4134,2
6,4538,78
6,4766,2
6,4808,1
6,4837,17
6,9808,1
