ASN,latitude,longitude
3801,41.8781,-87.6298
3833,41.14,-104.82
3842,45.5051,-122.675
3847,41.8866,-87.6268
3848,41.8835,-87.6535
3853,48.9854,-123.078
3855,40.7177,-74.0083
3856,37.8775,-122.263
3900,39.183,-119.767
3901,35.05,-85.3096
3908,47.4407,-122.256
3909,39.7475,-104.99
3910,61.2538,-149.692
3912,32.3199,-106.764
3949,38.5816,-121.494
3962,30.4635,-90.2758
3970,39.0438,-77.4874
3999,40.8114,-77.8689
4057,29.9452,-95.4242
4058,40.72,-74.0046
4134,37.3939,-121.978
4136,34.0353,-84.0612
4138,35.2085,-82.153
4150,43.0756,-89.5243
4181,45.5152,-122.678
4185,39.0067,-77.4291
4188,47.9349,-122.265
4192,41.8781,-87.6298
4208,41.955,-87.9401
4213,21.2979,-157.793
4229,34.0522,-118.244
4237,36.7378,-119.787
4249,37.7749,-122.419
4261,29.7604,-95.3698
4262,32.9042,-117.199
4264,32.9971,-96.6596
4282,40.7128,-74.006
4283,36.1699,-115.14
4284,30.4383,-84.2807
4307,37.0856,-121.606
4324,34.0522,-118.244
4364,38.2527,-85.7585
4366,39.2714,-84.3692
4374,33.8366,-117.914
4451,40.6202,-74.5677
4452,33.749,-84.388
4455,37.3377,-121.886
4459,40.5587,-74.2966
4466,37.7749,-122.419
4473,44.9778,-93.265
4474,45.6557,-110.57
4492,32.7152,-117.168
4511,25.7233,-80.276
4539,46.7502,-117.167
4546,29.7604,-95.3698
4549,41.6914,-72.9233
4556,34.0144,-118.388
4565,30.1741,-97.8865
4566,32.1273,-110.93
4576,30.3353,-97.8108
4581,39.1008,-94.5811
4605,39.0438,-77.4874
4609,37.7859,-122.405
4613,30.2839,-95.4776
4618,45.5051,-122.675
4621,33.9263,-118.394
4637,38.9072,-77.0369
4645,40.7128,-74.006
4657,41.4661,-87.3279
4663,37.3382,-121.886
4665,47.1815,-119.322
4668,36.9009,-82.0801
4670,28.5383,-81.3792
4675,40.7128,-74.006
4678,34.0232,-84.3616
4682,32.7767,-96.797
4686,39.9801,-75.1493
4691,40.5782,-122.357
4694,40.7608,-111.891
4713,40.7128,-74.006
4716,34.0522,-118.244
4723,40.1174,-88.2567
4725,33.5535,-84.0106
4732,37.8044,-122.271
4739,34.0522,-118.244
4741,40.4481,-80.0031
4747,39.0519,-77.4523
4750,40.7128,-74.006
4755,35.2969,-93.1357
4760,35.8503,-78.8289
4765,34.1687,-118.089
4766,29.7604,-95.3698
4771,40.2206,-74.7597
4775,34.0246,-118.476
4780,38.9195,-77.2197
4788,40.7128,-74.006
4795,37.9881,-91.7207
4802,42.0931,-71.7461
4804,38.9072,-77.0369
4808,30.3543,-97.7994
4812,32.7767,-96.797
4814,43.0756,-89.5242
4837,37.3541,-121.955
4847,37.392,-122.032
4927,34.4399,-119.835
4977,39.1621,-119.769
4983,42.6494,-73.7511
4996,42.4237,-83.4294
5006,45.0041,-93.4557
5033,34.1459,-118.777
5048,37.4278,-122.145
5061,30.2803,-95.4656
5067,32.8939,-117.236
5078,35.4719,-97.5818
5087,45.9172,-89.2443
